Record ID,Date,Department,Employee ID,Gender,Age,Service type,Patients handled,Revenue USD,Cost USD,Waiting time,Satisfaction_score
1,28/05/2024,Orthopedics,E1110,Female,65,Surgery,34,4058.13,3552.31,89.2,3.39
2,23/06/2024,Emergency,E1459,Male,27,Therapy,12,1982.18,947.48,11.7,4.46
3,21/09/2024,Radiology,E1423,Male,44,Therapy,24,6210.59,4683.01,7.4,4.88
4,25/01/2024,Oncology,E1937,Female,26,Diagnostics,31,8408.21,4255.98,25.9,1.73
5,04/09/2024,Cardiology,E1048,Female,50,Diagnostics,21,3390.3,2245.66,54.7,2.16
6,21/10/2024,Orthopedics,E1335,Male,55,Consultation,30,6312.6,2965.32,38.6,2.47
7,01/07/2024,Oncology,E1908,Female,24,Surgery,31,4832.66,3830.31,28,3.06
8,08/04/2024,Orthopedics,E1961,Female,34,Consultation,36,6127.94,2593.5,74.9,1.68
9,29/08/2024,Outpatient,E1772,Female,23,Follow-up,37,1117.99,977.62,116,4.23
10,25/10/2024,Orthopedics,E1319,Female,29,Diagnostics,36,3393.83,1523.27,83.7,2.76
11,02/05/2024,Pediatrics,E1859,Male,27,Diagnostics,22,1659.36,1074.58,9,4.64
12,01/12/2024,Oncology,E1582,Female,22,Diagnostics,46,2958.41,2163.37,40.8,3.08
13,23/02/2024,Orthopedics,E1780,Female,35,Consultation,16,5693.75,2803.76,116.5,4.1
14,26/04/2024,Outpatient,E1404,Male,41,Surgery,32,9425.24,7987.08,73.8,4.69
15,11/08/2024,Pediatrics,E1142,Female,60,Follow-up,21,1340.68,667.65,10.2,2.3
16,16/11/2024,Cardiology,E1202,Female,55,Follow-up,28,4192.43,2245.78,100.3,2.43
17,12/10/2024,Cardiology,E1448,Female,37,Therapy,20,3168.88,2127.42,21.2,4.21
18,28/07/2024,Oncology,E1952,Female,60,Surgery,44,1208.23,1079.49,93.8,1.79
19,05/03/2024,Pediatrics,E1790,Female,58,Consultation,43,552.46,446.24,86.3,3.92
20,01/08/2024,Outpatient,E1242,Female,63,Consultation,36,7827.07,3420.6,46.2,1.46
21,17/05/2024,Orthopedics,E1025,Male,31,Surgery,31,8699.48,6190.98,43.1,1.25
22,07/12/2024,Outpatient,E1636,Male,36,Consultation,34,3454.33,1943.38,88.9,3.55
23,20/06/2024,Orthopedics,E1316,Male,54,Surgery,12,8928.52,5679.5,18.8,3.85
24,18/01/2024,Oncology,E1999,Female,42,Follow-up,40,7727.46,5259.61,93.7,2.98
25,21/10/2024,Orthopedics,E1717,Female,54,Surgery,16,5465.96,3354.85,7.9,1.43
26,07/09/2024,Emergency,E1117,Male,42,Diagnostics,33,798.58,573.54,41.2,3.03
27,19/12/2024,Oncology,E1667,Female,62,Surgery,47,9121.88,4785.76,52.2,4.02
28,08/12/2024,Radiology,E1659,Female,35,Consultation,48,2673.58,1172.34,38.3,1.64
29,23/07/2024,Oncology,E1505,Male,49,Therapy,47,9332.13,7503.59,77.8,4.49
30,09/06/2024,Radiology,E1370,Male,31,Follow-up,30,8134.88,4012.81,107.6,3.16
31,22/12/2024,Oncology,E1366,Male,25,Surgery,37,8170.68,6929.11,41.6,1.44
32,29/11/2024,Oncology,E1897,Female,32,Consultation,32,2665.38,1635.35,99.1,4.44
33,22/02/2024,Outpatient,E1148,Male,31,Follow-up,15,566.05,370.97,53,1.89
34,07/10/2024,Radiology,E1458,Female,25,Surgery,38,1638.72,932.12,113.4,2.29
35,26/06/2024,Pediatrics,E1912,Female,37,Follow-up,50,5428.51,4079.58,46.8,4.89
36,31/05/2024,Outpatient,E1333,Male,34,Therapy,25,9643.25,5071.3,62.2,2.2
37,19/04/2024,Outpatient,E1051,Male,52,Therapy,9,3205.98,1341.52,75.1,3.01
38,28/02/2024,Oncology,E1349,Male,33,Consultation,36,989.05,533.42,109.5,1.96
39,27/12/2024,Orthopedics,E1656,Female,24,Follow-up,33,1876.5,1209.83,118.3,1.97
